Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201610,October 2016,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,25926,,6287,,,0
HS,2016,201610,October 2016,6,1,1,Imports,76,Brazil,,381,Italy,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,25926,,6287,,,0
HS,2016,201604,April 2016,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,99193,,26544,,,0
HS,2016,201604,April 2016,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,99193,,26544,,,0
HS,2016,201607,July 2016,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,107031,,28831,,,0
HS,2016,201607,July 2016,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,107031,,28831,,,0
HS,2016,201610,October 2016,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,198059,,48514,,,0
HS,2016,201603,March 2016,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,347963,,77542,,,0
HS,2016,201608,August 2016,6,1,1,Imports,76,Brazil,,528,Netherlands,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,52120,,11962,,,0
HS,2016,201603,March 2016,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,347963,,77542,,,0
HS,2016,201608,August 2016,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,146420,,34165,,,0
