Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201812,December 2018,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,54000,,18550,,,0
HS,2018,201806,June 2018,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,217606,,43477,,,0
HS,2018,201806,June 2018,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,217606,,43477,,,0
HS,2018,201812,December 2018,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470720,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",,,,,,,54000,,18550,,,0
HS,2018,201803,March 2018,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,247349,,66857,,,0
HS,2018,201805,May 2018,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,391642,,100865,,,0
HS,2018,201810,October 2018,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,538773,,151615,,,0
HS,2018,201810,October 2018,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,644103,,178403,,,0
HS,2018,201812,December 2018,6,1,1,Imports,76,Brazil,,124,Canada,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,246632,,56554,,,0
HS,2018,201802,February 2018,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,245124,,66322,,,0
