Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201902,February 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,344892,,100509,,,0
HS,2019,201910,October 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,200912,,48434,,,0
HS,2019,201902,February 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,457262,,132510,,,0
HS,2019,201910,October 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,200912,,48434,,,0
HS,2019,201906,June 2019,6,1,1,Imports,76,Brazil,,484,Mexico,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,34970,,10100,,,0
HS,2019,201907,July 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,49115,,12184,,,0
HS,2019,201906,June 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,378464,,106352,,,0
HS,2019,201901,January 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,693525,,197387,,,0
HS,2019,201907,July 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,49115,,12184,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,981448,,274888,,,0
HS,2019,201903,March 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,981448,,274888,,,0
HS,2019,201906,June 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,413434,,116452,,,0
HS,2019,201909,September 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,100082,,24738,,,0
HS,2019,201905,May 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,591898,,152565,,,0
HS,2019,201901,January 2019,6,1,1,Imports,76,Brazil,,470,Malta,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,50410,,14533,,,0
HS,2019,201901,January 2019,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,50000,,12617,,,0
HS,2019,201909,September 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,100082,,24738,,,0
HS,2019,201905,May 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,591898,,152565,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,1470740,,402895,,,0
HS,2019,201902,February 2019,6,1,1,Imports,76,Brazil,,152,Chile,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,112370,,32001,,,0
HS,2019,201908,August 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,73537,,18197,,,0
HS,2019,201908,August 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,73537,,18197,,,0
HS,2019,201904,April 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,1470740,,402895,,,0
HS,2019,201901,January 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,793935,,224537,,,0
HS,2019,201901,January 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,10523,,1440,,,0
HS,2019,201911,November 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,924031,,143862,,,0
HS,2019,201912,December 2019,6,1,1,Imports,76,Brazil,,276,Germany,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,74,,12,,,0
HS,2019,201905,May 2019,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,102000,,19904,,,0
HS,2019,201905,May 2019,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,328540,,63100,,,0
HS,2019,201910,October 2019,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,1893785,,301730,,,0
HS,2019,201902,February 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,642969,,126475,,,0
HS,2019,201909,September 2019,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,26000,,4140,,,0
HS,2019,201911,November 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,1948581,,327214,,,0
HS,2019,201912,December 2019,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,379890,,71567,,,0
HS,2019,201910,October 2019,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,2074531,,330910,,,0
