Partner,2016,2017,2018,2019,2020,2021
Saudi Arabia,1985166.6666666667,5102333.333333333,7265916.666666667,9781000.0,3646750.0,1212625.0
Sierra Leone,,,,,64000.0,
Singapore,147142.85714285713,194300.0,1339500.0,239555.55555555556,8405750.0,12709000.0
Slovakia,,,19000.0,,,
Slovenia,,70000.0,25000.0,,,1019857.1428571428
South Africa,116571.42857142857,244000.0,382750.0,354000.0,124500.0,292000.0
Spain,231916.66666666666,546166.6666666666,2651818.1818181816,2879916.6666666665,3415250.0,1479625.0
Sri Lanka,,112666.66666666667,168000.0,294666.6666666667,148000.0,
Sudan,,,240000.0,,,
Suriname,125666.66666666667,167285.7142857143,307000.0,162333.33333333334,93000.0,158000.0
Swaziland,43000.0,,,,,
Sweden,73000.0,11000.0,,130666.66666666667,,
Switzerland,327000.0,207100.0,609600.0,329750.0,248000.0,135000.0
Thailand,24480750.0,23511250.0,39084333.333333336,43562666.666666664,48699083.333333336,162513125.0
Togo,,,19000.0,19000.0,,
Trinidad and Tobago,1207857.142857143,409428.5714285714,795083.3333333334,681166.6666666666,208100.0,305000.0
Tunisia,226500.0,320000.0,46000.0,70750.0,69000.0,
Turkey,971166.6666666666,805166.6666666666,2146666.6666666665,1763000.0,2235363.6363636362,961250.0
Turkmenistan,,,19000.0,,,
Ukraine,,,47000.0,90000.0,,
United Arab Emirates,124166.66666666667,717833.3333333334,2583416.6666666665,8823833.333333334,5458750.0,6137625.0
United Kingdom,335250.0,321250.0,2669833.3333333335,2574083.3333333335,4398666.666666667,5401000.0
United Rep. of Tanzania,155000.0,,,106000.0,,
Uruguay,179333.33333333334,31400.0,30666.666666666668,414000.0,19000.0,218500.0
Venezuela,1056000.0,17000.0,716000.0,134666.66666666666,57000.0,58500.0
Viet Nam,10056083.333333334,33292250.0,63823333.333333336,87600750.0,102850250.0,154719625.0
World,1645634083.3333333,1522629750.0,1585400166.6666667,1372238250.0,1198642500.0,1357095000.0
