Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2021,202101,January 2021,6,1,1,Imports,76,Brazil,,620,Portugal,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,50220,,10313,,,0
HS,2021,202101,January 2021,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,50220,,10313,,,0
HS,2021,202104,April 2021,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,1476020,,193002,,,0
HS,2021,202104,April 2021,6,1,1,Imports,76,Brazil,,616,Poland,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,106000,,20712,,,0
HS,2021,202104,April 2021,6,1,1,Imports,76,Brazil,,558,Nicaragua,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,206485,,64129,,,0
HS,2021,202103,March 2021,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,2998441,,577691,,,0
HS,2021,202104,April 2021,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,4785179,,1171178,,,0
HS,2021,202102,February 2021,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,300000,,38400,,,0
HS,2021,202102,February 2021,6,1,1,Imports,76,Brazil,,152,Chile,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,45890,,5178,,,0
HS,2021,202102,February 2021,6,1,1,Imports,76,Brazil,,616,Poland,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,50700,,9882,,,0
