,Period,Reporter,Weight
0,202101,Brazil,7765587
1,202101,Canada,99000
2,202101,Finland,4488518
3,202101,Germany,405066271
4,202101,India,654565671
5,202101,Japan,1306000
6,202101,Sweden,21487137
7,202101,United States of America,61912000
8,202102,Brazil,9313943
9,202102,Canada,36000
10,202102,Finland,2044454
11,202102,Germany,416126097
12,202102,India,676519553
13,202102,Japan,1142476
14,202102,Sweden,17711753
15,202102,United States of America,56187000
16,202103,Brazil,18673547
17,202103,Canada,150000
18,202103,Finland,6509491
19,202103,Germany,469984782
20,202103,India,783411133
21,202103,Japan,1192000
22,202103,Sweden,20603950
23,202103,United States of America,70257000
24,202104,Brazil,26240032
25,202104,Canada,72919000
26,202104,Finland,2105585
27,202104,Germany,401362124
28,202104,India,659336816
29,202104,Japan,1273000
30,202104,Sweden,24117496
31,202104,United States of America,65761000
32,202105,Canada,192000
33,202105,Finland,10263926
34,202105,Germany,426364271
35,202105,India,656228357
36,202105,Japan,1374000
37,202105,Sweden,24320098
38,202105,United States of America,68995000
39,202106,Canada,169000
40,202106,Finland,11061491
41,202106,Germany,396871167
42,202106,India,687404477
43,202106,Japan,1317000
44,202106,Sweden,25021588
45,202106,United States of America,75400000
46,202107,Canada,70361000
47,202107,Finland,68721
48,202107,Germany,439821222
49,202107,India,621633855
50,202107,Japan,1409000
51,202107,Sweden,19993895
52,202107,United States of America,74675000
53,202108,Canada,136000
54,202108,Finland,1010740
55,202108,Germany,403019760
56,202108,India,536155677
57,202108,Japan,1647000
58,202108,Sweden,19993485
59,202108,United States of America,82856000
60,202109,Canada,175000
61,202109,Finland,5193198
62,202109,Germany,435132135
63,202109,India,489341646
64,202109,Japan,1205000
65,202109,Sweden,20145788
66,202109,United States of America,85112000
67,202110,Canada,87000
68,202110,Finland,7834285
69,202110,Germany,475092492
70,202110,India,606577065
71,202110,Japan,2155000
72,202110,Sweden,18640491
73,202110,United States of America,82234000
74,202111,Canada,71798000
75,202111,Japan,1388000
76,202111,United States of America,77446000
