Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,56,Belgium,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,840,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,100,Bulgaria,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,270,,1788,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,24,,231,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2341067,,472065,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,428,Latvia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,357800,,79558,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,440,Lithuania,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,90300,,13607,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,365440,,72145,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,616,Poland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,102235,,127443,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,620,Portugal,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,25542,,35641,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,643,Russian Federation,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1382876,,252077,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,752,Sweden,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,3111694,,384276,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,757,Switzerland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,104520,,25809,,,0
HS,2019,201901,Jan-19,4,0,1,Imports,246,Finland,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,243729,,59421,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,8,,283,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2116781,,439104,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,10574,,16045,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,428,Latvia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,212100,,47758,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,440,Lithuania,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,130540,,23068,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,139820,,28738,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,616,Poland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,86708,,112924,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,620,Portugal,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,24168,,33531,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,643,Russian Federation,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1737239,,323452,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,724,Spain,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,24244,,33637,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,752,Sweden,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,3392671,,372584,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,757,Switzerland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,93950,,22396,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,792,Turkey,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,4,,61,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,44439,,16950,,,0
HS,2019,201902,Feb-19,4,0,1,Imports,246,Finland,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,7,,112,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,18,,538,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,208,Denmark,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1,,1,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,3855380,,714014,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,262466,,69338,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,428,Latvia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,358600,,79154,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,440,Lithuania,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,10000,,512,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,338080,,59858,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,616,Poland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,104887,,135747,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,643,Russian Federation,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2179717,,406334,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,752,Sweden,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,3768059,,453620,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,757,Switzerland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,165115,,40684,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,246,Finland,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,8005,,9130,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,7,,21,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,208,Denmark,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,467790,,89403,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2079269,,433449,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,70620,,18016,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,3773,,5546,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,428,Latvia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,528060,,116799,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,440,Lithuania,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,135055,,14330,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,528,Netherlands,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,40040,,7199,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,246,Finland,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,115760,,25663,,,0
